,id,device_id,gather_time,active_power,direct_power,charge_capacity,date_time
216,19216,9,2023-09-14 13:50:15,82.17,83.62,480.2,2023-09-14 13:50:00
217,19217,10,2023-09-14 13:50:15,80.71,82.18,410.1,2023-09-14 13:50:00
218,19218,6,2023-09-14 14:00:15,77.74,79.08,444.6,2023-09-14 14:00:00
219,19219,7,2023-09-14 14:00:15,79.34,80.84,447.2,2023-09-14 14:00:00
220,19220,8,2023-09-14 14:00:15,77.25,78.58,450.9,2023-09-14 14:00:00
221,19221,9,2023-09-14 14:00:15,81.16,82.51,492.9,2023-09-14 14:00:00
222,19222,10,2023-09-14 14:00:15,78.86,80.19,419.1,2023-09-14 14:00:00
223,19223,6,2023-09-14 14:10:15,82.53,83.9,457.4,2023-09-14 14:10:00
224,19224,7,2023-09-14 14:10:15,71.09,72.26,460.3,2023-09-14 14:10:00
225,19225,8,2023-09-14 14:10:15,81.11,82.45,463.9,2023-09-14 14:10:00
226,19226,9,2023-09-14 14:10:15,84.31,85.83,506.6,2023-09-14 14:10:00
227,19227,10,2023-09-14 14:10:15,75.91,77.24,432.3,2023-09-14 14:10:00
228,19228,6,2023-09-14 14:20:15,61.79,62.85,466.2,2023-09-14 14:20:00
229,19229,7,2023-09-14 14:20:15,62.02,62.97,469.4,2023-09-14 14:20:00
230,19230,8,2023-09-14 14:20:15,53.31,54.31,472.4,2023-09-14 14:20:00
231,19231,9,2023-09-14 14:20:15,63.06,64.08,517.7,2023-09-14 14:20:00
232,19232,10,2023-09-14 14:20:15,24.88,25.32,444.5,2023-09-14 14:20:00
233,19233,6,2023-09-14 14:30:15,35.31,35.82,473.3,2023-09-14 14:30:00
234,19234,7,2023-09-14 14:30:15,37.15,37.78,476.7,2023-09-14 14:30:00
235,19235,8,2023-09-14 14:30:15,40.68,41.28,477.1,2023-09-14 14:30:00
236,19236,9,2023-09-14 14:30:15,49.3,50.04,527.4,2023-09-14 14:30:00
237,19237,10,2023-09-14 14:30:15,48.6,49.28,451.2,2023-09-14 14:30:00
238,19238,6,2023-09-14 14:40:15,71.92,73.06,482.6,2023-09-14 14:40:00
239,19239,7,2023-09-14 14:40:15,73.29,74.39,485.9,2023-09-14 14:40:00
240,19240,8,2023-09-14 14:40:15,74.58,75.75,489.7,2023-09-14 14:40:00
241,19241,9,2023-09-14 14:40:15,75.52,76.76,538.7,2023-09-14 14:40:00
242,19242,10,2023-09-14 14:40:15,74.46,75.67,462.1,2023-09-14 14:40:00
243,19243,6,2023-09-14 14:50:15,70.13,71.29,494.6,2023-09-14 14:50:00
244,19244,7,2023-09-14 14:50:15,71.77,72.96,498.1,2023-09-14 14:50:00
245,19245,8,2023-09-14 14:50:15,69.13,70.21,501.7,2023-09-14 14:50:00
246,19246,9,2023-09-14 14:50:15,73.57,74.84,544.5,2023-09-14 14:50:00
247,19247,10,2023-09-14 14:50:15,64.11,65.37,474.2,2023-09-14 14:50:00
248,19248,6,2023-09-14 15:00:15,44.74,45.44,505.2,2023-09-14 15:00:00
249,19249,7,2023-09-14 15:00:15,60.72,62.75,509.0,2023-09-14 15:00:00
250,19250,8,2023-09-14 15:00:15,58.19,59.11,512.3,2023-09-14 15:00:00
251,19251,9,2023-09-14 15:00:15,65.74,66.78,555.4,2023-09-14 15:00:00
252,19252,10,2023-09-14 15:00:15,61.51,62.54,484.4,2023-09-14 15:00:00
253,19253,6,2023-09-14 15:10:15,50.98,51.73,513.7,2023-09-14 15:10:00
254,19254,7,2023-09-14 15:10:15,58.34,59.23,517.4,2023-09-14 15:10:00
255,19255,8,2023-09-14 15:10:15,51.63,52.37,517.5,2023-09-14 15:10:00
256,19256,9,2023-09-14 15:10:15,55.32,56.14,563.3,2023-09-14 15:10:00
257,19257,10,2023-09-14 15:10:15,50.81,51.58,492.8,2023-09-14 15:10:00
258,19258,6,2023-09-14 15:20:15,59.03,59.98,521.2,2023-09-14 15:20:00
259,19259,7,2023-09-14 15:20:15,60.33,61.21,525.1,2023-09-14 15:20:00
260,19260,8,2023-09-14 15:20:15,48.67,49.33,525.4,2023-09-14 15:20:00
261,19261,9,2023-09-14 15:20:15,57.68,58.54,572.3,2023-09-14 15:20:00
262,19262,10,2023-09-14 15:20:15,26.59,27.05,500.6,2023-09-14 15:20:00
263,19263,6,2023-09-14 15:30:15,56.67,57.42,527.6,2023-09-14 15:30:00
264,19264,7,2023-09-14 15:30:15,26.35,26.72,531.7,2023-09-14 15:30:00
265,19265,8,2023-09-14 15:30:15,46.29,47.11,534.3,2023-09-14 15:30:00
266,19266,9,2023-09-14 15:30:15,23.82,24.24,578.1,2023-09-14 15:30:00
267,19267,10,2023-09-14 15:30:15,59.62,60.57,504.7,2023-09-14 15:30:00
268,19268,6,2023-09-14 15:40:15,36.85,37.35,535.1,2023-09-14 15:40:00
269,19269,7,2023-09-14 15:40:15,48.08,48.69,539.0,2023-09-14 15:40:00
270,19270,8,2023-09-14 15:40:15,26.43,26.86,541.0,2023-09-14 15:40:00
271,19271,9,2023-09-14 15:40:15,45.67,46.32,584.1,2023-09-14 15:40:00
272,19272,10,2023-09-14 15:40:15,51.65,52.48,512.8,2023-09-14 15:40:00
273,19273,6,2023-09-14 15:50:16,42.1,42.74,540.8,2023-09-14 15:50:00
274,19274,7,2023-09-14 15:50:16,43.31,43.87,544.8,2023-09-14 15:50:00
275,19275,8,2023-09-14 15:50:16,33.91,34.53,544.2,2023-09-14 15:50:00
276,19276,9,2023-09-14 15:50:16,41.29,41.87,589.9,2023-09-14 15:50:00
277,19277,10,2023-09-14 15:50:16,42.1,42.67,521.4,2023-09-14 15:50:00
278,19278,6,2023-09-14 16:00:15,37.17,37.7,545.8,2023-09-14 16:00:00
279,19279,7,2023-09-14 16:00:15,35.36,35.8,550.1,2023-09-14 16:00:00
280,19280,8,2023-09-14 16:00:15,29.5,29.92,550.3,2023-09-14 16:00:00
281,19281,9,2023-09-14 16:00:15,31.83,32.31,595.4,2023-09-14 16:00:00
282,19282,10,2023-09-14 16:00:15,43.01,43.58,526.8,2023-09-14 16:00:00
283,19283,6,2023-09-14 16:10:15,32.24,32.72,551.6,2023-09-14 16:10:00
284,19284,7,2023-09-14 16:10:15,32.91,33.35,556.0,2023-09-14 16:10:00
285,19285,8,2023-09-14 16:10:15,26.18,26.54,553.4,2023-09-14 16:10:00
286,19286,9,2023-09-14 16:10:15,29.67,30.1,600.9,2023-09-14 16:10:00
287,19287,10,2023-09-14 16:10:15,27.01,27.95,533.3,2023-09-14 16:10:00
288,19288,6,2023-09-14 16:20:15,23.4,23.81,555.1,2023-09-14 16:20:00
289,19289,7,2023-09-14 16:20:15,19.76,20.12,559.8,2023-09-14 16:20:00
290,19290,8,2023-09-14 16:20:15,8.26,8.53,557.5,2023-09-14 16:20:00
291,19291,9,2023-09-14 16:20:15,11.66,12.03,604.9,2023-09-14 16:20:00
292,19292,10,2023-09-14 16:20:15,10.94,11.23,535.6,2023-09-14 16:20:00
293,19293,6,2023-09-14 16:30:15,20.15,20.46,558.2,2023-09-14 16:30:00
294,19294,7,2023-09-14 16:30:15,20.06,20.39,563.9,2023-09-14 16:30:00
295,19295,8,2023-09-14 16:30:15,14.15,14.47,559.9,2023-09-14 16:30:00
296,19296,9,2023-09-14 16:30:15,17.81,18.13,607.5,2023-09-14 16:30:00
297,19297,10,2023-09-14 16:30:15,24.98,25.33,539.2,2023-09-14 16:30:00
298,19298,6,2023-09-14 16:40:15,16.18,16.45,561.5,2023-09-14 16:40:00
299,19299,7,2023-09-14 16:40:15,18.55,18.86,566.2,2023-09-14 16:40:00
300,19300,8,2023-09-14 16:40:15,10.97,11.23,562.2,2023-09-14 16:40:00
301,19301,9,2023-09-14 16:40:15,14.94,15.36,610.4,2023-09-14 16:40:00
302,19302,10,2023-09-14 16:40:15,18.24,18.54,544.5,2023-09-14 16:40:00
303,19303,6,2023-09-14 16:50:15,12.49,12.76,563.7,2023-09-14 16:50:00
304,19304,7,2023-09-14 16:50:15,11.45,11.72,569.2,2023-09-14 16:50:00
305,19305,8,2023-09-14 16:50:15,8.83,9.07,563.3,2023-09-14 16:50:00
306,19306,9,2023-09-14 16:50:15,11.2,11.49,612.4,2023-09-14 16:50:00
307,19307,10,2023-09-14 16:50:15,12.87,13.18,546.2,2023-09-14 16:50:00
