id;"device_id";"gather_time";"active_power";"direct_power";"charge_capacity"
105310;8;"2024-02-26 01:10:00";0.0;0.0;0.0
105311;9;"2024-02-26 01:10:00";0.0;0.0;0.0
105312;10;"2024-02-26 01:10:00";0.0;0.0;0.0
105313;6;"2024-02-26 02:10:00";0.0;0.0;0.0
105314;7;"2024-02-26 02:10:00";0.0;0.0;0.0
105315;8;"2024-02-26 02:10:00";0.0;0.0;0.0
105316;9;"2024-02-26 02:10:00";0.0;0.0;0.0
105317;10;"2024-02-26 02:10:00";0.0;0.0;0.0
105318;6;"2024-02-26 03:10:00";0.0;0.0;0.0
105319;7;"2024-02-26 03:10:00";0.0;0.0;0.0
105320;8;"2024-02-26 03:10:00";0.0;0.0;0.0
105321;9;"2024-02-26 03:10:00";0.0;0.0;0.0
105322;10;"2024-02-26 03:10:00";0.0;0.0;0.0
105323;6;"2024-02-26 04:10:00";0.0;0.0;0.0
105324;7;"2024-02-26 04:10:00";0.0;0.0;0.0
105325;8;"2024-02-26 04:10:00";0.0;0.0;0.0
105326;9;"2024-02-26 04:10:00";0.0;0.0;0.0
105327;10;"2024-02-26 04:10:00";0.0;0.0;0.0
105328;6;"2024-02-26 05:10:01";0.0;0.0;0.0
105329;7;"2024-02-26 05:10:01";0.0;0.0;0.0
105330;8;"2024-02-26 05:10:01";0.0;0.0;0.0
105331;9;"2024-02-26 05:10:01";0.0;0.0;0.0
105332;10;"2024-02-26 05:10:01";0.0;0.0;0.0
105333;6;"2024-02-26 06:10:00";0.0;0.0;0.0
105334;7;"2024-02-26 06:10:00";0.0;0.0;0.0
105335;8;"2024-02-26 06:10:00";0.0;0.0;0.0
105336;9;"2024-02-26 06:10:00";0.0;0.0;0.0
105337;10;"2024-02-26 06:10:00";0.0;0.0;0.0
105338;6;"2024-02-26 07:10:00";1.44;2.02;0.2
105339;7;"2024-02-26 07:10:00";1.58;2.02;0.1
105340;8;"2024-02-26 07:10:00";1.53;2.04;0.1
105341;9;"2024-02-26 07:10:00";1.66;2.08;0.1
105342;10;"2024-02-26 07:10:00";1.58;2.06;0.1
105343;6;"2024-02-26 08:10:00";10.08;10.41;5.7
105344;7;"2024-02-26 08:10:00";10.46;10.71;5.3
105345;8;"2024-02-26 08:10:00";9.9;10.16;5.3
105346;9;"2024-02-26 08:10:00";10.59;10.82;5.8
105347;10;"2024-02-26 08:10:00";10.04;10.28;5.4
105348;6;"2024-02-26 09:10:00";10.41;10.64;14.3
105349;7;"2024-02-26 09:10:00";11.11;11.35;14.6
105350;8;"2024-02-26 09:10:00";10.98;11.27;14.5
105351;9;"2024-02-26 09:10:00";11.74;11.99;15.5
105352;10;"2024-02-26 09:10:00";11.25;11.49;14.7
105353;6;"2024-02-26 10:10:01";14.34;14.64;32.6
105354;7;"2024-02-26 10:10:01";14.34;14.67;33.1
105355;8;"2024-02-26 10:10:01";14.26;14.55;32.9
105356;9;"2024-02-26 10:10:01";15.25;15.57;35.1
105357;10;"2024-02-26 10:10:01";14.66;15.01;33.4
105358;6;"2024-02-26 11:10:01";13.62;13.89;47.0
105359;7;"2024-02-26 11:10:01";14.58;14.86;46.8
105360;8;"2024-02-26 11:10:01";14.35;14.76;46.5
105361;9;"2024-02-26 11:10:01";15.14;15.42;50.7
105362;10;"2024-02-26 11:10:01";14.75;15.04;47.1
105363;6;"2024-02-26 12:10:01";8.14;8.43;59.7
105364;7;"2024-02-26 12:10:01";8.22;8.46;60.3
105365;8;"2024-02-26 12:10:01";8.62;8.88;59.4
105366;9;"2024-02-26 12:10:01";9.23;9.49;63.8
105367;10;"2024-02-26 12:10:01";8.24;8.62;60.8
105368;6;"2024-02-26 13:10:00";12.94;13.22;71.3
105369;7;"2024-02-26 13:10:00";16.07;16.37;71.2
105370;8;"2024-02-26 13:10:00";12.52;12.77;71.5
105371;9;"2024-02-26 13:10:00";15.82;16.13;76.2
105372;10;"2024-02-26 13:10:00";12.79;13.08;72.6
105373;6;"2024-02-26 14:10:00";5.87;6.26;80.5
105374;7;"2024-02-26 14:10:00";4.66;4.88;81.4
105375;8;"2024-02-26 14:10:00";5.75;6.13;80.6
105376;9;"2024-02-26 14:10:00";5.58;5.89;86.9
105377;10;"2024-02-26 14:10:00";4.74;5.06;82.1
105378;6;"2024-02-26 15:10:01";5.63;5.91;86.0
105379;7;"2024-02-26 15:10:01";5.57;5.81;86.6
105380;8;"2024-02-26 15:10:01";5.66;5.92;86.0
105381;9;"2024-02-26 15:10:01";6.32;6.53;92.6
105382;10;"2024-02-26 15:10:01";5.89;6.17;87.4
105383;6;"2024-02-26 16:10:00";2.33;2.73;89.8
