,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
84,21932,10,0.0,0.0,284.7,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,8.6,21.95,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
90,22288,6,38.26,38.78,31.1,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,31.1,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
91,22289,7,38.56,39.07,30.9,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,30.9,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
92,22290,8,38.22,38.74,30.5,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,30.5,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
93,22291,9,48.23,48.85,38.9,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,38.9,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
94,22292,10,30.07,30.47,23.8,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,23.8,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
95,22378,6,85.57,87.01,221.1,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,190.0,38.26,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
96,22379,7,87.25,88.71,223.5,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,192.6,38.56,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
97,22380,8,87.99,89.47,226.6,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,196.1,38.22,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
98,22381,9,95.76,97.43,269.8,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,230.9,48.23,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
99,22382,10,78.99,80.35,194.3,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,170.5,30.07,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
100,22468,6,68.22,69.3,427.6,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,206.5,85.57,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
101,22469,7,70.17,71.29,435.4,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,211.9,87.25,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
102,22470,8,69.99,71.09,439.6,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,213.0,87.99,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
103,22471,9,73.75,74.98,521.3,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,251.5,95.76,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
104,22472,10,68.68,69.82,394.1,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,199.8,78.99,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
105,22558,6,4.52,4.84,542.3,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,114.7,68.22,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
106,22559,7,4.79,5.02,551.7,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,116.3,70.17,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
107,22560,8,4.53,4.92,551.2,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,111.6,69.99,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
108,22561,9,4.76,5.12,639.1,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,117.8,73.75,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
109,22562,10,4.73,4.95,512.9,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,118.8,68.68,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
110,22648,6,0.0,0.0,545.9,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.6,4.52,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
111,22649,7,0.0,0.0,555.2,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.5,4.79,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
112,22650,8,0.0,0.0,554.7,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.5,4.53,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
113,22651,9,0.0,0.0,642.6,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.5,4.76,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
114,22652,10,0.0,0.0,516.7,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.8,4.73,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
120,23008,6,38.21,38.76,30.8,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,30.8,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
121,23009,7,38.84,39.38,31.3,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,31.3,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
