,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
744,37977,10,4.95,5.2,2.2,11.0,75.0,0.0,0.0,-1,1,1013.71,352.32,2.2,0.0,9.9,77.0,2.0,0.0,1.0,0.0,1012.26,0.0,8
749,38067,10,23.67,24.01,45.4,13.5,71.0,1.0,0.0,-1,-1,1013.18,880.98,43.2,4.95,11.0,75.0,0.0,0.0,-1.0,1.0,1013.71,352.32,11
754,38157,10,27.65,28.01,143.3,16.4,60.0,2.0,0.0,-1,-1,1010.14,728.92,97.9,23.67,13.5,71.0,1.0,0.0,-1.0,-1.0,1013.18,880.98,14
759,38247,10,0.8,1.31,187.9,15.7,66.0,0.0,0.0,0,0,1009.48,1.6,44.6,27.65,16.4,60.0,2.0,0.0,-1.0,-1.0,1010.14,728.92,17
764,38337,10,0.0,0.0,188.0,15.5,72.0,0.0,0.0,0,0,1010.27,0.0,0.1,0.8,15.7,66.0,0.0,0.0,0.0,0.0,1009.48,1.6,20
774,38697,10,10.89,11.2,5.0,16.3,80.0,2.0,0.0,-1,0,1009.08,349.83,5.0,0.0,15.3,81.0,1.0,0.0,-1.0,-1.0,1008.42,0.0,8
779,38787,10,27.77,28.14,67.6,20.6,69.0,2.0,0.0,-1,0,1008.69,880.22,62.6,10.89,16.3,80.0,2.0,0.0,-1.0,0.0,1009.08,349.83,11
784,38877,10,46.43,47.02,183.6,24.3,63.0,3.0,0.0,1,0,1005.25,730.01,116.0,27.77,20.6,69.0,2.0,0.0,-1.0,0.0,1008.69,880.22,14
789,38967,10,0.51,0.83,247.8,20.4,84.0,2.0,0.0,1,1,1004.72,1.83,64.2,46.43,24.3,63.0,3.0,0.0,1.0,0.0,1005.25,730.01,17
794,39057,10,0.0,0.0,247.9,18.2,91.0,1.0,0.0,1,1,1005.38,0.0,0.1,0.51,20.4,84.0,2.0,0.0,1.0,1.0,1004.72,1.83,20
804,39417,10,3.44,3.66,1.5,17.0,99.0,1.0,0.0,-1,0,1003.53,347.4,1.5,0.0,16.8,98.0,1.0,0.0,-1.0,0.0,1002.34,0.0,8
