,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p),hour,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,POA_b,Po(p)_b,device_id,cc_diff
2108,6.4,71.0,2.0,0.0,-1,-1,347.53,1017.68,8,5.1,76.0,3.0,0.0,-1.0,0.0,0.0,1015.69,9,14.4
357,32.8,58.0,5.0,0.0,1,0,789.89,999.56,14,31.8,60.0,2.0,0.0,-1.0,1.0,952.76,1001.55,8,199.8
468,25.3,61.0,3.0,0.0,1,1,0.0,1002.21,20,26.2,58.0,4.0,0.0,1.0,0.0,82.72,1000.75,9,2.0
215,27.0,80.0,4.0,0.0,1,1,0.0,1001.28,20,27.9,79.0,5.0,0.0,1.0,0.0,112.91,999.56,6,2.0
550,21.1,70.0,2.0,0.0,0,1,954.9,1004.59,11,20.8,70.0,2.0,0.0,-1.0,1.0,457.8,1004.59,6,54.9
1951,9.7,98.0,1.0,7.0,-1,-1,0.0,1005.51,20,9.5,96.0,1.0,2.0,-1.0,0.0,142.45,1005.51,7,0.2
1392,18.8,34.0,3.0,0.0,1,0,805.22,1009.08,14,15.3,44.0,1.0,0.0,-1.0,-1.0,901.29,1011.33,8,182.1
1817,16.5,77.0,1.0,15.0,1,-1,846.39,1008.16,14,12.8,90.0,2.0,18.0,-1.0,-1.0,924.68,1011.07,8,152.2
2294,20.9,64.0,3.0,0.0,1,1,880.12,1000.23,14,18.9,66.0,1.0,0.0,1.0,-1.0,955.82,1003.79,10,190.5
303,31.9,61.0,0.0,0.0,0,0,951.76,1000.75,11,28.5,73.0,0.0,0.0,-1.0,0.0,451.89,1001.55,9,201.8
1613,3.1,82.0,4.0,1.0,-1,1,913.03,1019.92,11,5.0,81.0,3.0,0.4,-1.0,1.0,322.99,1018.34,9,22.7
1032,9.3,95.0,3.0,0.0,-1,0,323.93,1006.57,8,9.0,95.0,2.0,0.0,-1.0,0.0,0.0,1006.7,8,7.5
1595,11.4,60.0,2.0,0.0,1,1,95.38,1013.45,17,12.2,62.0,2.0,0.0,1.0,-1.0,825.87,1011.86,6,36.9
234,27.7,79.0,4.0,0.2,1,1,794.76,999.96,14,28.0,79.0,2.0,0.3,1.0,1.0,949.91,1001.55,10,69.7
1368,18.8,40.0,2.0,0.0,1,-1,801.92,1005.91,14,12.9,55.0,2.0,0.0,-1.0,-1.0,899.46,1008.55,9,226.9
2381,8.6,98.0,2.0,5.0,1,0,364.88,1011.33,8,9.2,99.0,2.0,4.0,1.0,0.0,0.0,1008.16,7,0.6
909,2.9,71.0,2.0,0.0,-1,0,329.56,1020.85,8,2.5,71.0,3.0,0.0,-1.0,0.0,0.0,1019.13,10,3.5
1751,7.8,59.0,2.0,0.9082105263157895,1,0,0.0,1016.75,20,8.7,51.0,2.0,0.3,1.0,0.0,116.52,1015.03,7,0.8
659,17.0,99.0,1.0,0.0,-1,0,347.4,1003.53,8,16.8,98.0,1.0,0.0,-1.0,0.0,0.0,1002.34,10,1.5
1635,0.7,51.0,4.0,1.0,-1,0,914.31,1022.57,11,-2.1,64.0,0.0,3.0,0.0,0.0,323.33,1022.96,6,1.9
1315,17.1,21.0,4.0,0.0,-1,1,795.41,1008.55,14,15.5,38.0,3.0,0.0,-1.0,1.0,896.02,1010.01,6,177.0
1316,17.1,21.0,4.0,0.0,-1,1,795.41,1008.55,14,15.5,38.0,3.0,0.0,-1.0,1.0,896.02,1010.01,7,176.5
758,7.7,84.0,2.0,5.0,0,1,339.26,1012.65,8,8.4,89.0,1.0,5.0,0.0,1.0,0.0,1010.93,9,1.3
2087,12.4,55.0,1.0,0.0,-1,-1,944.37,1016.35,11,4.1,93.0,2.0,0.0,-1.0,0.0,345.56,1016.75,8,164.1
1154,11.0,44.0,3.0,0.0,-1,1,0.0,1012.78,20,13.5,34.0,3.0,0.0,-1.0,1.0,27.47,1011.59,10,0.2
833,-0.3,38.0,2.0,0.0,-1,1,334.04,1027.33,8,-1.3,48.0,2.0,0.0,-1.0,1.0,0.0,1025.34,9,8.2
1619,1.9,91.0,2.0,3.0,-1,1,828.15,1018.07,14,3.1,82.0,4.0,1.0,-1.0,1.0,913.03,1019.92,10,22.0
324,28.4,72.0,2.0,0.0,0,1,452.64,1001.15,8,25.5,83.0,0.0,0.0,0.0,1.0,0.0,1000.36,10,20.9
2113,15.3,43.0,2.0,0.0,-1,-1,946.28,1017.81,11,6.4,71.0,2.0,0.0,-1.0,-1.0,347.53,1017.68,9,211.8
2135,14.7,54.0,1.0,0.0,-1,-1,948.19,1018.34,11,6.4,77.0,3.0,0.0,-1.0,0.0,349.56,1018.6,6,162.7
2040,7.6,71.0,2.0,0.4,1,1,865.8,1009.88,14,5.5,81.0,3.0,0.8,0.0,1.0,940.6,1012.39,6,83.1
2189,20.0,54.0,1.0,0.0,-1,-1,952.02,1008.55,11,12.9,85.0,2.0,0.0,-1.0,0.0,353.79,1009.48,10,130.6
809,3.0,42.0,3.0,0.0,0,1,335.7,1021.38,8,2.2,49.0,1.0,0.0,-1.0,0.0,0.0,1019.53,10,4.7
